ID,Name,District,Total Voters,Male Count,Female Count,3rd Gender
"27","Shozhinganallur","Chengalpattu",536991,262621,274254,116
"6","Avadi","Thiruvallur",428772,209662,219035,75
"9","Madavaram","Thiruvallur",420601,205922,214596,83
"117","Kavundampalayam","Coimbatore",407507,198430,208963,114
"29","Sriperumbudur","Kancheepuram",375921,181852,194007,62
"32","Chengalpattu","Chengalpattu",366400,178076,188267,57
"7","Maduravoyal","Thiruvallur",364031,179602,184349,80
"5","Poonamallee","Thiruvallur",363688,176849,186769,70
"55","Hosur","Krishnagiri",338295,169099,169124,72
"189","Madurai East","Madurai",330993,161361,169579,53
"8","Ambattur","Thiruvallur",330480,162248,168175,57
"30","Pallavaram","Chengalpattu",330217,161197,168996,24
"31","Tambaram","Chengalpattu",323677,157580,166046,51
"115","Palladam","Tiruppur",322530,156069,166429,32
"211","Ramanathapuram","Ramanathapuram",310165,152412,157740,13
"113","Tiruppur (North)","Tiruppur",310138,152351,157662,125
"195","Thiruparankundram","Madurai",307783,150596,157157,30
"116","Sulur","Coimbatore",303541,145987,157452,102
"184","Karaikudi","Sivaganga",303371,148087,155256,28
"122","Kinathukadavu","Coimbatore",300486,144562,155888,36
"77","Ulundurpettai","Kallakurichi",297472,148929,148499,44
"212","Mudhukulathur","Ramanathapuram",297310,148105,149202,3
"28","Alandur","Kancheepuram",296052,143839,152173,40
"84","Omalur","Salem",291866,148764,143081,21
"118","Coimbatore (North)","Coimbatore",291533,143383,148122,28
"33","Thiruporur","Chengalpattu",289401,140991,148359,51
"147","Perambalur","Perambalur",288449,139914,148507,28
"119","Thondamuthur","Coimbatore",287442,138968,148371,103
"229","Kanniyakumari","Kanniyakumari",286968,141230,145643,95
"139","Srirangam","Tiruchirappalli",283862,137694,146120,48
"210","Tiruvadanai","Ramanathapuram",282121,140103,141997,21
"222","Tenkasi","Tenkasi",279585,136260,143223,102
"111","Mettuppalayam","Coimbatore",279438,133022,146382,34
"80","Kallakurichi","Kallakurichi",278762,137649,141044,69
"37","Kancheepuram","Kancheepuram",276299,133825,142437,37
"186","Sivaganga","Sivaganga",276156,135113,141039,4
"86","Edappadi","Salem",274054,138709,135316,29
"224","Tirunelveli","Tirunelveli",273520,132511,140929,80
"185","Tiruppattur","Sivaganga",273456,134270,139183,3
"194","Madurai West","Madurai",271341,133116,138214,11
"78","Rishivandiyam","Kallakurichi",270541,135292,135198,51
"83","Yercaud","Salem",270529,132685,137827,17
"221","Kadayanallur","Tenkasi",267517,132228,135272,17
"148","Kunnam","Perambalur",266682,131720,134959,3
"62","Chengam","Tiruvannamalai",266629,132571,134045,13
"121","Singanallur","Coimbatore",266058,128758,137277,23
"138","Manapparai","Tiruchirappalli",266019,131212,134798,9
"53","Krishnagiri","Krishnagiri",265037,129777,135200,60
"169","Nannilam","Thiruvarur",264462,131094,133352,16
"197","Usilampatti","Madurai",264141,131411,132724,6
"199","Periyakulam","Theni",263547,128368,135070,109
"231","Colachal","Kanniyakumari",263448,131885,131562,1
"79","Sankarapuram","Kallakurichi",263136,130231,132859,46
"150","Jayankondam","Ariyalur",261793,129713,132068,12
"200","Bodinayakanur","Theni",261631,126856,134760,15
"149","Ariyalur","Ariyalur",261161,129521,131624,16
"3","Tiruttani","Thiruvallur",260084,128642,131417,25
"129","Athoor","Dindigul",259846,125056,134773,17
"196","Thirumangalam","Madurai",259225,125756,133461,8
"87","Sankari","Salem",258678,130573,128075,30
"131","Natham","Dindigul",258603,127116,131421,66
"59","Dharmapuri","Dharmapuri",257939,129393,128464,82
"168","Thiruvarur","Thiruvarur",257892,126054,131818,20
"187","Manamadurai","Sivaganga",257616,126565,131048,3
"162","Poompuhar","Mayiladuthurai",257129,127071,130050,8
"230","Nagercoil","Kanniyakumari",257022,125873,131139,10
"173","Thiruvaiyaru","Thanjavur",256377,125357,131000,20
"142","Thiruverumbur","Tiruchirappalli",256239,124328,131860,51
"39","Sholinghur","Ranipet",256118,126034,130072,12
"88","Salem (West)","Salem",255320,127131,128125,64
"226","Palayamkottai","Tirunelveli",255130,123972,131141,17
"60","Pappireddipatti","Dharmapuri",254658,127427,127217,14
"172","Papanasam","Thanjavur",254652,123838,130791,23
"198","Andipatti","Theni",254549,124591,129928,30
"170","Thiruvidaimarudur","Thanjavur",254453,125132,129313,8
"227","Nanguneri","Tirunelveli",254420,125276,129130,14
"201","Cumbum","Theni",253646,122496,131129,21
"85","Mettur","Salem",253445,127853,125575,17
"223","Alangulam","Tenkasi",253408,123739,129650,19
"67","Arani","Tiruvannamalai",253022,123335,129650,37
"171","Kumbakonam","Thanjavur",251868,122383,129469,16
"1","Gummidipoondi","Thiruvallur",251603,122195,129372,36
"112","Avanashi","Tiruppur",250346,119841,130496,9
"174","Thanjavur","Thanjavur",249064,118648,130369,47
"2","Ponneri","Thiruvallur",248917,121221,127662,34
"4","Thiruvallur","Thiruvallur",248651,121188,127426,37
"46","Gudiyattam","Vellore",248526,120946,127547,33
"91","Veerapandi","Salem",248478,124850,123611,17
"214","Thoothukkudi","Thoothukudi",248300,120614,127623,63
"63","Tiruvannamalai","Tiruvannamalai",247309,119784,127477,48
"58","Pennagaram","Dharmapuri",246293,126763,119521,9
"41","Ranipet","Ranipet",245853,119090,126719,44
"99","Erode (West)","Erode",245493,118206,127246,41
